customer_id;age;gender;location;monthly_income;employment_status;education_level;months_active;avg_transaction_value;transaction_frequency;savings_balance;loan_amount;loan_term_days;interest_rate;days_since_last_loan;loan_repaid;transaction_consistency;evening_transaction_ratio;weekend_transaction_ratio;repayment_probability;predicted_repayment;income_category;risk_segment
1;56;Female;Urban;554,81;Unemployed;Primary;26;47,0;13;203,99;260,21;30;11,46;40;1;0,66;0,35;0,54;0,39;0;Medium;High Risk
2;46;Male;Urban;1032,74;Employed;None;17;46,43;14;47,68;638,93;30;7,45;288;1;0,65;0,3;0,22;0,94;1;High;Low Risk
3;32;Male;Urban;710,87;Employed;Tertiary;27;81,58;18;264,4;512,14;30;10,4;42;1;0,21;0,28;0,73;0,74;1;Medium;Medium Risk
4;60;Female;Urban;699,01;Self-Employed;Tertiary;11;24,43;17;165,75;581,76;30;13,79;269;1;0,59;0,68;0,33;0,79;1;Medium;Medium Risk
5;25;Male;Urban;816,31;Self-Employed;Tertiary;19;51,18;21;319,37;587,34;30;10,22;313;0;0,84;0,07;0,37;0,51;1;Medium;Medium Risk
6;38;Male;Semi-Urban;396,97;Unemployed;None;23;36,08;13;199,19;100,0;30;6,5;27;0;0,7;0,34;0,33;0,39;0;Low;High Risk
7;56;Male;Semi-Urban;1091,63;Unemployed;Secondary;15;44,02;14;130,41;844,3;60;11,12;269;0;0,44;0,27;0,4;0,31;0;High;High Risk
8;36;Male;Rural;1191,03;Employed;Primary;5;43,16;9;145,8;386,98;90;6,81;73;1;0,89;0,55;0,45;0,94;1;High;Low Risk
9;40;Male;Semi-Urban;691,99;Self-Employed;Tertiary;6;51,44;19;159,76;774,79;30;11,07;144;1;0,64;0,54;0,3;0,82;1;Medium;Low Risk
10;28;Male;Rural;957,26;Self-Employed;Tertiary;6;76,94;13;248,98;584,93;30;15,56;161;1;0,46;0,07;0,32;0,81;1;Medium;Low Risk
11;28;Female;Urban;1033,67;Employed;Secondary;30;88,04;23;121,49;284,29;30;8,18;245;1;1,0;0,35;0,29;0,83;1;High;Low Risk
12;41;Male;Urban;772,62;Self-Employed;Secondary;9;63,13;20;324,37;358,47;30;13,94;269;1;0,49;0,3;0,24;0,74;1;Medium;Medium Risk
13;53;Male;Rural;467,53;Self-Employed;Secondary;28;30,42;11;236,86;362,18;30;17,14;210;1;0,88;0,13;0,36;0,77;1;Low;Medium Risk
14;57;Male;Rural;1278,22;Self-Employed;None;13;46,51;13;222,44;373,68;30;15,82;279;1;0,55;0,07;0,37;0,94;1;High;Low Risk
15;41;Female;Urban;682,24;Employed;Secondary;26;55,21;23;207,3;146,13;30;11,32;222;1;0,73;0,34;0,56;0,72;1;Medium;Medium Risk
16;20;Male;Rural;617,26;Employed;None;12;41,86;14;197,99;340,31;60;9,25;359;0;0,52;0,4;0,49;0,59;1;Medium;Medium Risk
17;39;Male;Urban;1291,64;Employed;None;15;44,46;12;73,05;693,48;30;12,52;69;1;0,45;0,74;0,45;0,9;1;High;Low Risk
18;19;Male;Rural;983,02;Unemployed;Secondary;21;48,58;10;229,25;713,95;30;12,57;19;0;0,8;0,2;0,5;0,35;0;Medium;High Risk
19;41;Female;Semi-Urban;877,23;Employed;Secondary;21;65,44;10;392,57;364,75;30;14,76;120;1;0,78;0,19;0,64;0,73;1;Medium;Medium Risk
20;61;Male;Rural;508,77;Unemployed;Secondary;14;60,6;18;269,18;125,43;60;12,15;172;1;0,93;0,24;0,58;0,65;1;Medium;Medium Risk
21;47;Male;Semi-Urban;1040,84;Self-Employed;Primary;24;37,8;12;243,85;626,18;60;13,21;33;1;0,69;0,15;0,51;0,96;1;High;Low Risk
22;55;Male;Semi-Urban;1668,96;Self-Employed;Primary;32;61,86;17;46,5;284,25;60;9,27;70;1;1,0;0,56;0,18;0,89;1;Very High;Low Risk
23;19;Female;Semi-Urban;1064,15;Self-Employed;Tertiary;14;84,49;15;308,61;299,86;60;14,22;32;1;0,75;0,15;0,28;0,95;1;High;Low Risk
24;38;Male;Semi-Urban;948,83;Self-Employed;Secondary;31;19,74;14;280,25;443,43;30;8,17;261;1;0,81;0,51;0,4;0,81;1;Medium;Low Risk
25;50;Male;Semi-Urban;1016,33;Self-Employed;Primary;23;41,25;17;316,74;424,71;30;10,12;271;1;0,43;0,1;0,54;0,95;1;High;Low Risk
26;29;Female;Rural;701,57;Self-Employed;Primary;13;39,73;13;109,61;342,05;60;13,8;108;0;0,58;0,23;0,53;0,61;1;Medium;Medium Risk
